Export Title: My Timeline
Export Date: 2026-01-15T08:58:43.126Z

Machine,Port ID,Start,End,State,Machine,Duration,Operator
102 HAAS VF4,1,1767763027,1767763877,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767763877,1767764069,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767764069,1767764232,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767764232,1767764262,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767764262,1767764277,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767764277,1767764462,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767764462,1767764989,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767764989,1767765171,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767765171,1767765615,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767765615,1767765798,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767765798,1767766366,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767766366,1767766548,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767766548,1767766876,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767766876,1767767058,Cycle,102 HAAS VF4,0,John Doe
